time,exchange,symbol,interval,price_open,price_high,price_low,price_close,price_volume_usd,funding_open,funding_high,funding_low,funding_close,basis_open_basis,basis_close_basis,basis_open_change,basis_close_change,ls_global_global_account_long_percent,ls_global_global_account_short_percent,ls_global_global_account_long_short_ratio,ls_top_top_account_long_percent,ls_top_top_account_short_percent,ls_top_top_account_long_short_ratio
2025-03-17 03:00:00,Binance,BTCUSDT,1h,83212.51,83725.39,83212.5,83675.65,59208243.8907,0.003428,0.004759,0.003388,0.004759,0.0469,0.0414,39.01,34.65,61.95,38.05,1.63,64.8,35.2,1.84
2025-03-17 04:00:00,Binance,BTCUSDT,1h,83675.64,83869.77,83522.0,83615.53,39239509.155,0.004759,0.006189,0.004759,0.006189,0.0413,0.031,34.54,25.93,61.76,38.24,1.62,63.26,36.74,1.72
2025-03-17 05:00:00,Binance,BTCUSDT,1h,83615.53,83615.53,83120.0,83120.0,50311526.0162,0.006189,0.007769,0.006189,0.007769,0.0311,0.0374,26.03,31.1,61.27,38.73,1.58,63.37,36.63,1.73
2025-03-17 06:00:00,Binance,BTCUSDT,1h,83120.01,83295.07,82682.62,83220.91,53370538.2985,0.007769,0.008552,0.007769,0.008552,0.0376,0.0422,31.21,35.11,60.28,39.72,1.52,62.95,37.05,1.7
2025-03-17 07:00:00,Binance,BTCUSDT,1h,83220.91,83636.36,83212.83,83567.87,60158350.8612,0.008552,0.008752,0.008468,0.008468,0.0411,0.0511,34.21,42.67,60.91,39.09,1.56,63.6,36.4,1.75
2025-03-17 08:00:00,Binance,BTCUSDT,1h,83567.88,83719.39,83221.18,83547.17,42734627.9098,0.008468,0.008474,0.007923,0.007923,0.051,0.0564,42.58,47.07,61.4,38.6,1.59,63.8,36.2,1.76
2025-03-17 09:00:00,Binance,BTCUSDT,1h,83547.16,83783.02,83431.09,83664.31,46076157.4276,0.007923,0.008163,0.007663,0.007733,0.0565,0.053,47.16,44.31,60.81,39.19,1.55,63.33,36.67,1.73
2025-03-17 10:00:00,Binance,BTCUSDT,1h,83664.31,83687.17,83260.04,83344.34,35376077.6536,0.007733,0.007733,0.007262,0.007295,0.053,0.0536,44.31,44.64,60.63,39.37,1.54,63.12,36.88,1.71
2025-03-17 11:00:00,Binance,BTCUSDT,1h,83344.34,83699.0,83220.11,83514.73,34857413.9349,0.007295,0.007532,0.007168,0.007206,0.0537,0.0476,44.74,39.73,60.18,39.82,1.51,62.97,37.03,1.7
2025-03-17 12:00:00,Binance,BTCUSDT,1h,83514.73,84000.0,83002.01,83052.0,133695608.4313,0.007206,0.007206,0.005562,0.005562,0.0476,0.0517,39.73,42.9,60.45,39.55,1.53,63.09,36.91,1.71
